iter	RMSE
0	971.1840246
1	957.4559319
2	945.1795477
3	933.1956632
4	920.1361972
5	909.0998744
6	897.465661
7	887.2309385
8	876.592657
9	867.2385416
10	857.4811527
11	847.9006794
12	838.6371151
13	829.9444707
14	821.218164
15	812.5806149
16	805.0842366
17	797.1409093
18	788.3033521
19	780.7828128
20	773.408712
21	765.4108162
22	758.4061089
23	751.9004364
24	745.3656678
25	739.2355851
26	733.0998309
27	726.6891356
28	721.0723592
29	714.2806101
30	709.6527264
31	703.7578575
32	698.678395
33	693.0674081
34	688.7924979
35	684.6419238
36	680.1128726
37	675.5119547
38	671.2180469
39	668.1552346
40	663.4706009
41	659.5162394
42	654.8737513
43	650.8266933
44	646.7739227
45	642.4563788
46	639.3794137
47	635.4177566
48	632.9393998
49	629.4415624
50	625.5501883
51	622.3118554
52	618.6675322
53	615.4171154
54	613.299589
55	610.65309
56	607.5727326
57	605.0518164
58	601.5489509
59	598.6629141
60	596.1145302
61	594.0585202
62	591.516855
63	589.5212682
64	586.5033604
65	584.2112951
66	582.4710353
67	580.5841945
68	577.5757211
69	575.2583351
70	574.0608668
71	572.1463383
72	570.2738964
73	568.8267003
74	567.0768444
75	565.4291819
76	563.1172468
77	561.5070378
78	559.6006594
79	558.8835291
80	557.7957575
81	555.3626348
82	553.4371429
83	550.3970725
84	549.3622197
85	547.1326738
86	546.0376404
87	544.8802732
88	543.250474
89	541.6331063
90	539.5126456
91	537.6673407
92	535.2546102
93	533.6247883
94	532.324116
95	530.5728061
96	528.9184984
97	527.797135
98	526.4458663
99	524.6240972
100	523.8290116
101	522.1822427
102	520.2792803
103	519.4386008
104	518.6406745
105	516.905945
106	515.699281
107	514.6765733
108	513.1125546
109	511.647347
110	510.5422509
111	510.2325664
112	508.2744053
113	506.7620893
114	505.1349438
115	504.2909551
116	502.7284753
117	501.8015405
118	500.6741108
119	499.7221456
120	497.9158834
121	497.3553462
122	496.8048465
123	496.4056995
124	495.2976992
125	493.9703233
126	492.7722633
127	491.6905638
128	490.5178074
129	489.7826661
130	489.0179124
131	487.2314819
132	485.9377759
133	485.1826595
134	484.2371647
135	483.5729572
136	482.6239377
137	481.5973718
138	480.4469136
139	479.6142927
140	478.741951
141	477.7129425
142	477.1496474
143	476.5190752
144	475.8698996
145	475.0272136
146	474.2658014
147	473.4430431
148	472.211316
149	471.0373691
150	470.0655166
151	469.3598983
152	468.7864344
153	468.2080526
154	466.7116501
155	465.5392959
156	464.135857
157	462.2386079
158	460.2989478
159	459.3404796
160	457.7281229
161	456.7431685
162	455.9897578
163	454.3751526
164	453.2145281
165	452.151455
166	451.2369636
167	450.062566
168	448.4598676
169	447.9975742
170	447.0650051
171	445.6665514
172	445.33783
173	444.7130265
174	444.0354618
175	443.6241594
176	442.4549157
177	441.4048624
178	440.1139634
179	439.9225319
180	438.9141959
181	438.0640098
182	436.4722627
183	436.0793489
184	434.8159945
185	434.3243365
186	433.6882234
187	433.0024234
188	431.997738
189	431.080636
190	429.0399489
191	427.9386006
192	427.4330434
193	426.1685428
194	424.6317671
195	423.7834642
196	423.4264605
197	421.6215531
198	420.9157383
199	420.6692781
200	419.224883
201	418.7983829
202	417.7426825
203	417.1213421
204	416.8279476
205	416.3258022
206	416.1385031
207	415.4278288
208	415.2154939
209	414.8534928
210	414.5370647
211	412.8526242
212	412.5862673
213	412.1354068
214	410.9472264
215	409.0196331
216	407.7340239
217	407.2978568
218	405.5858147
219	405.3001577
220	404.8572379
221	403.6137478
222	403.363725
223	403.1977336
224	402.9366886
225	402.5601972
226	401.1759743
227	400.9111044
228	400.4531845
229	400.1629343
230	398.6442337
231	398.0250819
232	397.7669678
233	397.1213425
234	396.8737649
235	395.9035081
236	395.105609
237	393.6552773
238	392.9680132
239	391.6674338
240	391.516442
241	391.2929058
242	390.5871987
243	389.5545021
244	388.3805063
245	388.1699388
246	388.0020872
247	387.4595684
248	386.9540983
249	386.5215353
250	386.0073168
251	385.1119925
252	384.0311746
253	383.8521767
254	382.5350628
255	380.8853212
256	380.4932031
257	378.9399877
258	377.4417536
259	376.6515166
260	375.8718657
261	374.7847899
262	374.6630291
263	374.4859458
264	373.2074468
265	371.4297496
266	370.6374578
267	370.0848251
268	369.2454367
269	369.0783351
270	367.8351948
271	366.8129262
272	366.5095162
273	365.2558259
274	363.6293614
275	363.1303286
276	362.1019901
277	361.8712388
278	360.612338
279	360.1030908
280	359.6027035
281	358.3387449
282	357.8810994
283	357.3388571
284	355.7837847
285	354.43588
286	354.319318
287	353.4584094
288	352.6093489
289	352.0174455
290	351.0264545
291	350.3341246
292	349.7892085
293	348.8775597
294	348.2976097
295	346.6530907
296	345.9751249
297	344.6520222
298	344.2535505
299	342.9323059
300	341.6863726
301	341.5360715
302	340.9891297
303	340.3401883
304	340.0523437
305	339.7583164
306	339.2108987
307	338.1085999
308	337.2788747
309	336.7860993
310	336.5877724
311	335.5252643
312	334.2816235
313	333.7302979
314	333.408699
315	332.0593186
316	330.7874448
317	330.652941
318	329.1319268
319	327.4969894
320	326.2360237
321	325.3155512
322	324.1043541
323	323.0576685
324	322.2195179
325	322.1240083
326	321.5424416
327	320.2548266
328	319.1659625
329	317.5386103
330	316.7440951
331	316.1583084
332	315.2812411
333	314.3728207
334	313.7887256
335	313.1270357
336	313.0252673
337	312.3611934
338	310.8676902
339	309.6567061
340	308.6046109
341	307.9824743
342	307.6617175
343	306.9104509
344	305.9412835
345	305.4838629
346	303.7929762
347	303.72108
348	302.4574854
349	302.0227209
350	301.053996
351	299.9641653
352	299.3084476
353	298.4391016
354	298.3331405
355	297.6668731
356	296.9514754
357	295.8703983
358	294.3148584
359	293.7935931
360	292.8266422
361	292.1004159
362	291.3509955
363	289.7952986
364	289.6900564
365	288.6181644
366	287.9502403
367	286.5895356
368	286.1766539
369	285.4775675
370	285.081371
371	283.9700027
372	283.0554691
373	282.4612785
374	281.3836428
375	280.5943536
376	280.052227
377	278.7604955
378	277.6247182
379	276.3792857
380	275.104879
381	274.6225498
382	273.8258124
383	273.7529135
384	272.7233565
385	271.8335079
386	271.5443326
387	270.4490025
388	269.1414728
389	268.6944244
390	267.9549797
391	267.289236
392	266.2613061
393	266.1606893
394	265.3381197
395	264.5239917
396	263.2822343
397	262.9510549
398	262.1019146
399	261.1951778
400	261.1030377
401	260.7018387
402	260.1381528
403	259.2399098
404	258.482394
405	257.8280475
406	257.4320901
407	257.3543671
408	256.661383
409	255.6291393
410	254.7180702
411	253.9240995
412	253.1129834
413	252.0333044
414	251.6554095
415	251.5605232
416	250.9075571
417	250.3468844
418	249.2357631
419	248.8431942
420	247.965788
421	247.5093247
422	247.0157337
423	245.8182242
424	245.735195
425	245.1137046
426	244.5802664
427	244.1316197
428	243.7151865
429	243.4194033
430	242.6450633
431	242.4818846
432	241.4653432
433	240.4623083
434	239.4375221
435	238.5980359
436	237.8351432
437	237.200991
438	236.6832148
439	235.6573773
440	235.0654286
441	234.6454891
442	234.250504
443	233.2833854
444	232.486083
445	232.2209421
446	231.5324393
447	230.9184741
448	230.5087936
449	229.7722261
450	228.8207093
451	228.0342697
452	227.1101264
453	226.9720387
454	226.9144773
455	226.8489901
456	225.9607168
457	225.2738971
458	224.8637215
459	224.811795
460	224.7500412
461	224.0820419
462	223.5260843
463	222.8796216
464	222.5982478
465	222.2891434
466	221.9603404
467	221.9054351
468	221.8496193
469	221.1388742
470	219.9900697
471	219.5162736
472	218.8859248
473	218.3955117
474	218.3553147
475	218.3051663
476	217.7295517
477	217.1957916
478	216.5843122
479	216.1839204
480	215.7574139
481	214.9142275
482	214.4285781
483	213.7600783
484	212.9768035
485	212.0966585
486	211.6994429
487	211.639405
488	211.1825087
489	210.1936853
490	209.6648964
491	209.0717723
492	208.2423884
493	208.0002406
494	207.437042
495	207.0123387
496	206.3010452
497	205.9303032
498	205.3890772
499	204.5189124
500	203.8049527
501	203.4060043
502	202.3783703
503	202.0301244
504	201.5426444
505	201.102749
506	200.4276941
507	199.6373172
508	198.9476528
509	197.933995
510	197.5873086
511	196.8726637
512	196.5535526
513	195.9499154
514	195.6011522
515	195.5640892
516	195.101212
517	194.5388859
518	194.1097363
519	193.5811588
520	193.0857391
521	192.8048316
522	192.1515878
523	191.4979131
524	190.9871628
525	190.4470242
526	190.4059606
527	190.152638
528	190.1069665
529	190.0595687
530	189.7163251
531	189.1350297
532	188.6986645
533	188.6566407
534	188.179094
535	187.8650382
536	187.8224511
537	187.3508073
538	186.567427
539	186.5285841
540	185.9266854
541	185.223097
542	184.6302119
543	183.7862053
544	183.2838328
545	182.8188841
546	182.4852378
547	182.1303217
548	181.9543678
549	181.2960406
550	180.714779
551	180.0637956
552	179.236534
553	178.8618843
554	178.8208616
555	178.32127
556	177.8314564
557	177.4515881
558	176.9802343
559	176.4290358
560	176.1347259
561	175.6326505
562	175.1872105
563	174.477103
564	174.1721417
565	173.7092749
566	173.3977004
567	172.8489205
568	172.6021185
569	171.642317
570	171.6101267
571	171.4043972
572	171.2072564
573	170.669508
574	170.2408925
575	169.675046
576	168.9206999
577	168.5733173
578	167.9772631
579	167.2904276
580	166.9059105
581	166.3857915
582	165.7775555
583	165.1912849
584	164.8499483
585	164.354099
586	164.0881481
587	163.7656809
588	163.4179903
589	163.1030984
590	162.5397471
591	162.1603893
592	161.8170084
593	161.6185505
594	161.1447923
595	160.7792052
596	160.2462236
597	159.7877212
598	159.5041911
599	159.0794703
600	158.726451
601	158.6877517
602	158.5046543
603	157.9663032
604	157.593278
605	157.1772179
606	156.5225436
607	156.1937819
608	155.9112836
609	155.625927
610	154.8852062
611	154.4569468
612	154.2204239
613	153.614752
614	153.3568415
615	152.964128
616	152.7052598
617	152.327205
618	152.1215012
619	151.7886158
620	151.3853539
621	150.7754585
622	150.4906721
623	150.0387315
624	149.5448946
625	149.3284819
626	148.7907515
627	148.3206576
628	148.0127868
629	147.5349928
630	147.3490327
